Category,Subcategory,Subcategory2,Code
Food and Drinks,Mucho Martes,,
Food and Drinks,Groceries,Meat,
Food and Drinks,Groceries,Dairy and Eggs,
Food and Drinks,Groceries,Produce,
Food and Drinks,Groceries,Bread and Pasta,
Food and Drinks,Groceries,Dessert and Chocolates,
Food and Drinks,Groceries,Beverages,
Food and Drinks,Groceries,Condiments,
Food and Drinks,Groceries,Canned,
Food and Drinks,Groceries,Other,
Food and Drinks,Groceries,Grains,
Food and Drinks,Groceries,Baking,
Food and Drinks,Groceries,Frozen,
Food and Drinks,Drinks,Beer,
Food and Drinks,Drinks,Wine,
Food and Drinks,Drinks,Coffee,
Food and Drinks,Drinks,Juice,
Food and Drinks,Drinks,Tea,
Food and Drinks,Drinks,Soda,
Food and Drinks,Drinks,Water,
Food and Drinks,Drinks,Gatorade,
Food and Drinks,Drinks,Milkshake,
Food and Drinks,Drinks,Whisky,
Food and Drinks,Drinks,Spirits,
Food and Drinks,Drinks,Cocktails,
Food and Drinks,Restaurant,,
Food and Drinks,Snacks,Ice Cream,
Food and Drinks,Snacks,Donuts,
Food and Drinks,Snacks,Street Food,
Food and Drinks,Snacks,Bread,
Food and Drinks,Snacks,Convenience Store,
Food and Drinks,Snacks,Fruit,
Food and Drinks,Snacks,Restaurant,
Food and Drinks,Snacks,Pastries/Dessert,
Food and Drinks,Snacks,Cafe,
Food and Drinks,Snacks,Cheese,
Food and Drinks,Snacks,Movies,
Food and Drinks,Snacks,Chocolate,
Food and Drinks,Snacks,Candy,
Food and Drinks,Street Food,,
Home,Internet,,
Home,Washing/Cleaning,,
Home,Repairs,,
Home,Furniture,,
Home,Kitchen,,
Home,Other,,
Home,Mortgage,,
Home,Condo Fees,,
Home,Down Payment,,
Home,Fixtures,,
Home,Tableware,,
Home,Bedding,,
Home,Bathroom,,
Home,Insurance,,
Home,Property Tax,,
Home,Purchase Fees,,
Home,Utilities,,
Home,Tools,,
Home,Appliances,,
Personal Bills,Health Insurance,,
Personal Bills,Dentist,,
Personal Bills,Manicure/Pedicure,,"manicure,pedicure"
Personal Bills,Medicine/Pharmacy,,"medicine,pharmacy"
Personal Bills,Hair,,
Personal Bills,Hygiene,,
Personal Bills,Laundry,,
Personal Bills,Skin Care,,
Personal Bills,Medical Services,,
Personal Bills,Cell Phone,,
Personal Bills,Driver's License,,
Shopping,Gift,,
Shopping,Clothes,,
Shopping,Electronics,,
Shopping,Extras,,
Shopping,Souvenir,,
Shopping,Stationery,,
Shopping,Cosmetics,,
Shopping,Accessories,,
Shopping,Online Services,,
Shopping,Baby,,
Shopping,Other,,
Leisure,Sports,Football,
Leisure,Sports,Tennis,
Leisure,Sports,Golf,
Leisure,Sports,Volleyball,
Leisure,Sports,Bowling,
Leisure,Sports,Gym,
Leisure,Sports,Baseball,
Leisure,Sports,Archery,
Leisure,Sports,Ski/Snowboard,
Leisure,Movies,,
Leisure,Museum,,
Leisure,Park,,
Leisure,Concert/Festival/Show,,
Leisure,Games,,
Leisure,Spa,,
Leisure,Tour,,
Leisure,Dance Lessons,,
Leisure,Tasting,,
Leisure,Bar,,
Leisure,Social,,
Leisure,Camping,,
Leisure,Other,,
Transport,Gas,,
Transport,Parking,,
Transport,Taxi,,
Transport,Toll,,
Transport,Bus,,
Transport,Plane,,
Transport,Subway,,
Transport,Bicycle,,
Transport,Cable car,,
Transport,Shuttle,,
Transport,Jeepny,,
Transport,Motorcycle,,
Transport,Pedicab,,
Transport,Rental,,
Transport,Tuktuk,,
Transport,Ferry,,
Transport,River Boat,,
Transport,Delivery,,
Transport,CAA,,
Transport,Car,Repair,
Transport,Car,Tires,
Transport,Car,Maintenance,
Transport,Car,Wash/Cleaning,
Transport,Car,Car,
Transport,Car,Other,
Transport,Car,Insurance,
Other,Bank Fee,,
Other,Unaccounted,,
Other,Investment,,
Other,Donation,,
Other,Coin locker,,
Other,Visa Fees,,
Other,Fine,,
Other,Education,,
Other,Immigration,,
Other,Taxes,,
Other,Bathroom,,
Other,Papers,,
Lodging,Airbnb,,
Lodging,Hostel,,
Lodging,Hotel,,
Lodging,Homestay,,
Lodging,Homeaway,,
Lodging,Rent,,